Time,M1SupplyVoltage,M1Current,M1Speed,M2SupplyVoltage,M2Current,M2Speed
0.860000,4.628791,0.085275,-24.383276,4.628791,0.059780,23.741611,
0.870000,3.908352,0.083516,-24.383276,3.908352,0.072967,24.383276,
0.880000,4.981758,0.087033,-24.383276,4.981758,0.072088,23.741611,
0.890000,4.270989,0.086154,-24.383276,4.270989,0.070330,24.383276,
0.900000,4.420879,0.086154,-24.383276,4.420879,0.071209,23.741611,
0.910000,4.764176,0.087033,-25.024941,4.764176,0.074725,24.383276,
0.920000,4.241978,0.088791,-24.383276,4.241978,0.073846,24.383276,
0.930000,4.638462,0.078242,-24.383276,4.638462,0.068571,24.383276,
0.940000,4.570769,0.084396,-24.383276,4.570769,0.098462,23.741611,
0.950000,4.396703,0.082637,-25.024941,4.396703,0.072088,24.383276,
0.960000,4.851209,0.086154,-24.383276,4.851209,0.072088,24.383276,
0.970000,4.377363,0.087033,-25.024941,4.377363,0.073846,24.383276,
0.980000,4.420879,0.085275,-24.383276,4.420879,0.127473,24.383276,
0.990000,4.764176,0.087033,-25.024941,4.764176,0.072088,24.383276,
1.000000,4.246813,0.085275,-24.383276,4.246813,0.069451,24.383276,
1.010000,4.662637,0.065055,-25.024941,4.662637,0.072967,24.383276,
1.020000,4.464396,0.084396,-24.383276,4.464396,0.082637,24.383276,
1.030000,4.314506,0.087033,-25.024941,4.314506,0.071209,25.024941,
1.040000,4.846374,0.086154,-25.024941,4.846374,0.071209,23.741611,
1.050000,4.314506,0.083516,-24.383276,4.314506,0.115165,24.383276,
1.060000,4.440220,0.085275,-25.024941,4.440220,0.071209,24.383276,
1.070000,4.730330,0.084396,-25.024941,4.730330,0.070330,24.383276,
1.080000,4.237143,0.087033,-24.383276,4.237143,0.061538,24.383276,
1.090000,4.754506,0.085275,-25.024941,4.754506,0.072088,24.383276,
1.100000,4.430549,0.086154,-25.024941,4.430549,0.075604,24.383276,
1.110000,3.569890,0.081758,-24.383276,3.569890,0.071209,24.383276,
1.120000,4.967253,0.085275,-25.024941,4.967253,0.070330,24.383276,
1.130000,4.222638,0.089670,-25.024941,4.222638,0.070330,24.383276,
1.140000,4.343517,0.084396,-25.024941,4.343517,0.074725,24.383276,
1.150000,4.614286,0.087033,-25.024941,4.614286,0.070330,25.024941,
1.160000,4.237143,0.065055,-25.024941,4.237143,0.070330,24.383276,
1.170000,4.701319,0.084396,-25.024941,4.701319,0.071209,24.383276,
1.180000,4.406374,0.083516,-25.024941,4.406374,0.103736,24.383276,
1.190000,4.280659,0.085275,-24.383276,4.280659,0.072088,24.383276,
1.200000,4.981758,0.072088,-25.024941,4.981758,0.070330,24.383276,
1.210000,4.353187,0.084396,-25.666607,4.353187,0.068571,25.666607,
1.220000,4.333846,0.084396,-25.024941,4.333846,0.101099,24.383276,
1.230000,4.710989,0.084396,-25.024941,4.710989,0.070330,25.024941,
1.240000,4.237143,0.088791,-25.024941,4.237143,0.072967,24.383276,
1.250000,4.701319,0.084396,-25.024941,4.701319,0.070330,24.383276,
1.260000,4.391868,0.090549,-25.024941,4.391868,0.070330,25.024941,
1.270000,4.145275,0.083516,-25.024941,4.145275,0.114286,25.024941,
1.280000,5.015604,0.086154,-25.024941,5.015604,0.074725,23.741611,
1.290000,4.193626,0.088791,-25.024941,4.193626,0.073846,24.383276,
1.300000,4.411209,0.084396,-25.024941,4.411209,0.090549,24.383276,
1.310000,4.416044,0.086154,-25.024941,4.416044,0.068571,25.024941,
1.320000,4.203297,0.090549,-25.666607,4.203297,0.069451,24.383276,
1.330000,4.875385,0.087912,-25.024941,4.875385,0.078242,25.024941,
1.340000,4.367692,0.087033,-25.024941,4.367692,0.073846,24.383276,
1.350000,4.169450,0.085275,-25.024941,4.169450,0.072088,24.383276,
1.360000,4.952747,0.085275,-25.024941,4.952747,0.070330,25.024941,
1.370000,4.295165,0.084396,-25.024941,4.295165,0.068571,24.383276,
1.380000,4.575604,0.085275,-25.666607,4.575604,0.073846,25.024941,
1.390000,4.590110,0.085275,-25.024941,4.590110,0.073846,24.383276,
1.400000,4.096923,0.079121,-25.024941,4.096923,0.068571,24.383276,
1.410000,4.894725,0.085275,-25.024941,4.894725,0.110769,24.383276,
1.420000,4.532088,0.087912,-25.024941,4.532088,0.069451,25.024941,
1.430000,3.550550,0.087912,-25.024941,3.550550,0.073846,24.383276,
1.440000,4.802857,0.114286,-25.666607,4.802857,0.073846,24.383276,
1.450000,4.164615,0.084396,-25.024941,4.164615,0.071209,25.024941,
1.460000,4.628791,0.086154,-25.024941,4.628791,0.071209,25.024941,
1.470000,4.677143,0.073846,-25.024941,4.677143,0.072088,24.383276,
1.480000,4.096923,0.082637,-25.024941,4.096923,0.092308,25.024941,
1.490000,4.846374,0.087033,-25.024941,4.846374,0.072088,24.383276,
1.500000,4.343517,0.088791,-25.666607,4.343517,0.068571,25.024941,
1.510000,4.338681,0.087912,-25.024941,4.338681,0.070330,25.024941,
1.520000,4.962418,0.087033,-25.024941,4.962418,0.071209,24.383276,
1.530000,4.300000,0.058901,-25.666607,4.300000,0.072088,25.024941,
1.540000,4.532088,0.085275,-25.024941,4.532088,0.102857,24.383276,
1.550000,4.488572,0.083516,-25.024941,4.488572,0.052747,24.383276,
1.560000,4.241978,0.084396,-25.024941,4.241978,0.070330,25.024941,
1.570000,4.914066,0.066813,-25.666607,4.914066,0.069451,25.024941,
1.580000,4.435384,0.083516,-25.024941,4.435384,0.082637,24.383276,
1.590000,4.203297,0.074725,-25.024941,4.203297,0.072088,24.383276,
1.600000,4.793187,0.116044,-25.666607,4.793187,0.072088,25.024941,
1.610000,4.145275,0.082637,-25.024941,4.145275,0.070330,25.024941,
1.620000,4.686813,0.118681,-25.024941,4.686813,0.071209,24.383276,
1.630000,4.628791,0.085275,-25.666607,4.628791,0.104615,24.383276,
1.640000,3.951868,0.085275,-25.024941,3.951868,0.072088,25.024941,
1.650000,4.773846,0.074725,-25.024941,4.773846,0.072088,24.383276,
1.660000,4.280659,0.082637,-25.666607,4.280659,0.066813,25.024941,
1.670000,4.222638,0.074725,-25.024941,4.222638,0.071209,24.383276,
1.680000,4.773846,0.105495,-25.666607,4.773846,0.072088,25.024941,
1.690000,4.275824,0.083516,-25.024941,4.275824,0.072088,25.024941,
1.700000,4.730330,0.085275,-25.024941,4.730330,0.072088,24.383276,
1.710000,4.478901,0.087033,-25.024941,4.478901,0.072967,25.024941,
1.720000,4.111429,0.112527,-25.024941,4.111429,0.070330,24.383276,
1.730000,4.807693,0.085275,-25.666607,4.807693,0.080000,25.024941,
1.740000,4.382198,0.085275,-25.024941,4.382198,0.070330,25.024941,
1.750000,3.337802,0.087033,-25.024941,3.337802,0.079121,24.383276,
1.760000,4.889890,0.087033,-25.024941,4.889890,0.073846,25.024941,
1.770000,4.121099,0.065934,-25.666607,4.121099,0.072967,24.383276,
1.780000,4.628791,0.089670,-25.024941,4.628791,0.069451,25.024941,
1.790000,4.454725,0.084396,-25.024941,4.454725,0.072967,24.383276,
1.800000,4.246813,0.086154,-25.666607,4.246813,0.072967,25.024941,
1.810000,4.943077,0.083516,-25.024941,4.943077,0.072967,25.024941,
1.820000,4.237143,0.084396,-25.024941,4.237143,0.093187,24.383276,
1.830000,4.304835,0.082637,-25.024941,4.304835,0.082637,24.383276,
1.840000,4.846374,0.084396,-25.666607,4.846374,0.069451,24.383276,
1.850000,4.241978,0.086154,-24.383276,4.241978,0.068571,24.383276,
1.860000,4.957582,0.085275,-25.666607,4.957582,0.070330,25.024941,
