α,θ,L Enc,R Enc,L_u,R_u,X,Y,θ,error,L_P,R_P,L_I,R_I,L_D,R_D
3.112362,-2.261921,0,0,0.097172,-0.087191,0.000128,0.000000,0.001283,0.005369,0.096650,0.096650,0.000000,0.000000,0.000522,0.000522
3.113018,-2.261822,0,0,0.083499,-0.074922,0.000128,0.000000,0.001283,0.004714,0.084844,0.084844,0.000000,0.000000,-0.001345,-0.001345
3.112643,-2.261637,0,0,0.094397,-0.084700,0.000128,0.000000,0.001283,0.005089,0.091607,0.091607,0.000000,0.000000,0.002789,0.002789
3.111927,-2.261617,0,0,0.107936,-0.096849,0.000128,0.000000,0.001283,0.005805,0.104482,0.104482,0.000000,0.000000,0.003455,0.003455
3.111052,-2.261565,0,0,0.121460,-0.108984,0.000128,0.000000,0.001283,0.006680,0.120245,0.120245,0.000000,0.000000,0.001216,0.001216
3.110856,-2.261417,0,0,0.123706,-0.110999,0.000128,0.000000,0.001283,0.006876,0.123764,0.123764,0.000000,0.000000,-0.000057,-0.000057
3.110373,-2.261383,0,0,0.134790,-0.120945,0.000128,0.000000,0.001283,0.007359,0.132458,0.132458,0.000000,0.000000,0.002332,0.002332
3.110313,-2.261586,0,0,0.133261,-0.119572,0.000128,0.000000,0.001283,0.007419,0.133540,0.133540,0.000000,0.000000,-0.000279,-0.000279
3.109947,-2.261500,0,0,0.142366,-0.127742,0.000128,0.000000,0.001283,0.007785,0.140127,0.140127,0.000000,0.000000,0.002239,0.002239
3.109509,-2.261383,0,0,0.147882,-0.132692,0.000128,0.000000,0.001283,0.008223,0.148011,0.148011,0.000000,0.000000,-0.000129,-0.000129
3.109559,-2.261152,0,0,0.148321,-0.133086,0.000128,0.000000,0.001283,0.008173,0.147105,0.147105,0.000000,0.000000,0.001216,0.001216
3.108569,-2.260894,0,0,0.168141,-0.150870,0.000128,0.000000,0.001283,0.009163,0.164937,0.164937,0.000000,0.000000,0.003204,0.003204
3.108155,-2.260785,0,0,0.170533,-0.153016,0.000128,0.000000,0.001283,0.009577,0.172378,0.172378,0.000000,0.000000,-0.001845,-0.001845
3.108493,-2.260612,0,0,0.166054,-0.148997,0.000128,0.000000,0.001283,0.009239,0.166297,0.166297,0.000000,0.000000,-0.000243,-0.000243
3.108017,-2.260447,0,0,0.176366,-0.158250,0.000128,0.000000,0.001283,0.009715,0.174871,0.174871,0.000000,0.000000,0.001495,0.001495
3.107573,-2.260453,0,0,0.182033,-0.163335,0.000128,0.000000,0.001283,0.010159,0.182862,0.182862,0.000000,0.000000,-0.000830,-0.000830
3.108230,-2.260434,0,0,0.167459,-0.150258,0.000128,0.000000,0.001283,0.009502,0.171035,0.171035,0.000000,0.000000,-0.003576,-0.003576
3.108647,-2.260253,0,0,0.164400,-0.147513,0.000128,0.000000,0.001283,0.009084,0.163520,0.163520,0.000000,0.000000,0.000880,0.000880
3.108818,-2.260404,0,0,0.156894,-0.140778,0.000128,0.000000,0.001283,0.008914,0.160456,0.160456,0.000000,0.000000,-0.003562,-0.003562
3.109818,-2.260405,0,0,0.142337,-0.127717,0.000128,0.000000,0.001283,0.007914,0.142445,0.142445,0.000000,0.000000,-0.000107,-0.000107
3.109855,-2.260073,0,0,0.138196,-0.124001,0.000128,0.000000,0.001283,0.007877,0.141779,0.141779,0.000000,0.000000,-0.003583,-0.003583
3.110438,-2.259856,0,0,0.130423,-0.117026,0.000128,0.000000,0.001283,0.007294,0.131295,0.131295,0.000000,0.000000,-0.000873,-0.000873
3.110619,-2.259819,0,0,0.127280,-0.114206,0.000128,0.000000,0.001283,0.007113,0.128038,0.128038,0.000000,0.000000,-0.000758,-0.000758
3.110222,-2.259835,0,0,0.136471,-0.122453,0.000128,0.000000,0.001283,0.007510,0.135183,0.135183,0.000000,0.000000,0.001287,0.001287
3.110550,-2.260073,0,0,0.128604,-0.115394,0.000128,0.000000,0.001283,0.007182,0.129270,0.129270,0.000000,0.000000,-0.000665,-0.000665
